business_id,name,address,city,state,postal,lat,lon,categories,opening_hours,0star,1star,2star,3star,4star,5star,totalreview,negative_count,neutral_count,positive_count,sentiment_score,avg_star_rating
---kPU91CF4Lq2-WlRu9Lw,Frankie's Raw Bar,4903 State Rd 54,New Port Richey,FL,34652,28.2172884,-82.7333444,"Seafood, Restaurants, Latin American, Food, Food Trucks","{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0'}",0,1,0,1,1,15,18,1,1,16,0.833,4.61
--8IbOsAAxjKRoYsBFL-PA,The Original Italian Pie,4706 Paris Ave,Gentilly,LA,70122,30.0063408,-90.074523,"Food, Restaurants, Italian","{'Monday': '11:0-21:30', 'Tuesday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-22:30', 'Saturday': '11:0-22:30', 'Sunday': '11:0-21:30'}",0,8,3,2,3,5,21,11,2,8,-0.143,2.71
--MbOh2O1pATkXa7xbU6LA,Sweet Lizard,"6360 N Campbell, Ste 130",Tucson,AZ,85718,32.3223912,-110.9289585,"Food, Ice Cream & Frozen Yogurt","{'Monday': '12:0-21:0', 'Tuesday': '12:0-21:0', 'Wednesday': '12:0-21:0', 'Thursday': '12:0-21:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-21:0'}",0,2,0,1,4,10,17,2,1,14,0.706,4.18
--SJXpAa0E-GCp2smaHf0A,Winn Dixie,10667 Big Bend Rd,Riverview,FL,33579,27.7913331653,-82.3322398549,"Grocery, Beer, Wine & Spirits, Food","{'Monday': '7:0-23:0', 'Tuesday': '7:0-23:0', 'Wednesday': '7:0-23:0', 'Thursday': '7:0-23:0', 'Friday': '7:0-23:0', 'Saturday': '7:0-23:0', 'Sunday': '7:0-23:0'}",0,1,2,1,3,1,8,3,1,4,0.125,3.13
--ZVrH2X2QXBFdCilbirsw,Chris's Sandwich Shop,1531 W Wynnewood Rd,Ardmore,PA,19003,39.9972988,-75.2922074,"American (Traditional), Restaurants, Pizza, Sandwiches, Meat Shops, Food, Wraps, Delis, Specialty Food, Salad","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",0,0,0,1,1,22,24,0,1,23,0.958,4.88
--a_r_w1HTsOY-fagPeNKg,Binford Farmers Market,62nd and Binford Blvd,Indianapolis,IN,46250,39.8686498404,-86.0839500278,"Farmers Market, Food",{'Saturday': '8:0-13:0'},0,0,0,1,1,0,2,0,1,1,0.5,3.5
--epgcb7xHGuJ-4PUeSLAw,Manhattan Bagel,200 York Road,Willow Grove,PA,19090,40.1450535093,-75.116293,"Restaurants, Food, Bagels, Sandwiches, Breakfast & Brunch","{'Monday': '7:0-14:0', 'Tuesday': '7:0-14:0', 'Wednesday': '7:0-14:0', 'Thursday': '7:0-14:0', 'Friday': '7:0-14:0', 'Saturday': '7:0-14:0', 'Sunday': '7:0-14:0'}",0,11,4,4,3,5,27,15,4,8,-0.259,2.52
--lqIzK-ZVTtgwiQM63XgQ,Wendy's,7423 N. Shadeland,Indianapolis,IN,46250,39.8895127,-86.0455911,"Burgers, Fast Food, Restaurants","{'Monday': '10:0-0:0', 'Tuesday': '10:0-0:0', 'Wednesday': '10:0-0:0', 'Thursday': '10:0-0:0', 'Friday': '10:0-0:0', 'Saturday': '10:0-0:0', 'Sunday': '10:0-0:0'}",0,9,1,1,0,2,13,10,1,2,-0.615,1.85
--qLiYw2ErSmvVwumb2kdw,C.C.'s Kitchen,517 Station Ave,Haddon Heights,NJ,08035,39.8829629,-75.0580346,"Food, Restaurants, Soup, Desserts, American (New), Mediterranean","{'Monday': '21:0-0:0', 'Wednesday': '17:0-21:0', 'Thursday': '10:0-14:0', 'Friday': '17:0-21:0', 'Saturday': '17:0-21:0'}",0,0,0,0,0,2,2,0,0,2,1.0,5.0
--rS-rnOIZxoiDA8yctWpQ,Publix GreenWise Market,555 Channelside Dr,Tampa,FL,33602,27.9432912827,-82.4501604729,"Organic Stores, Food, Grocery, Shopping, Public Markets","{'Monday': '7:0-22:0', 'Tuesday': '7:0-22:0', 'Wednesday': '7:0-22:0', 'Thursday': '7:0-22:0', 'Friday': '7:0-22:0', 'Saturday': '7:0-22:0', 'Sunday': '7:0-22:0'}",0,0,0,0,0,3,3,0,0,3,1.0,5.0
